Time (min),Abs
0.000104167,-0.894616604
0.0003125,-0.895100534
0.000520833,-0.897865892
0.000729167,-0.897559404
0.0009375,-0.897909164
0.001145833,-0.895624518
0.001354167,-0.89433372
0.0015625,-0.89774394
0.001770833,-0.898056209
0.001979167,-0.898317933
0.0021875,-0.897938371
0.002395833,-0.900780261
0.002604167,-0.898515046
0.0028125,-0.895201504
0.003020833,-0.895512104
0.003229167,-0.898331881
0.0034375,-0.899595141
0.003645833,-0.894726276
0.003854167,-0.897795796
0.0040625,-0.895114601
0.004270833,-0.898328185
0.004479167,-0.897721648
0.0046875,-0.897957861
0.004895833,-0.895739853
0.005104167,-0.898672521
0.0053125,-0.898383141
0.005520834,-0.89642936
0.005729167,-0.898262024
0.0059375,-0.898509145
0.006145834,-0.89776957
0.006354167,-0.8976987
0.0065625,-0.897781014
0.006770833,-0.894872844
0.006979167,-0.895166814
0.0071875,-0.898004592
0.007395833,-0.898265719
0.007604167,-0.89873457
0.0078125,-0.89705503
0.008020833,-0.897917509
0.008229167,-0.898143947
0.0084375,-0.897842526
0.008645833,-0.898119688
0.008854168,-0.898576319
0.009062501,-0.898022533
0.009270834,-0.897922456
0.009479167,-0.89770937
0.0096875,-0.898405314
0.009895834,-0.898264289
0.010104167,-0.895421326
0.0103125,-0.897735298
0.010520834,-0.894293726
0.010729167,-0.897797465
0.010937501,-0.897591293
0.011145834,-0.897957921
0.011354167,-0.898169935
0.0115625,-0.897658527
0.011770833,-0.894027352
0.011979167,-0.898285687
0.0121875,-0.898144066
0.012395834,-0.897314012
0.012604167,-0.898761749
0.0128125,-0.899013996
0.013020834,-0.896845281
0.013229167,-0.897644579
0.0134375,-0.899436772
0.013645833,-0.897983432
0.013854166,-0.89708513
0.014062501,-0.899088264
0.014270834,-0.897243261
0.014479167,-0.894393444
0.0146875,-0.893990815
0.014895833,-0.898988664
0.015104167,-0.897651553
0.0153125,-0.89884609
0.015520833,-0.899305046
0.015729167,-0.896025002
0.0159375,-0.8966102
0.016145835,-0.896835744
0.016354168,-0.897330403
0.016562501,-0.898507893
0.016770834,-0.898597121
0.016979167,-0.897972822
0.0171875,-0.89939338
0.017395834,-0.897906303
0.017604169,-0.897467792
0.0178125,-0.89857173
0.018020835,-0.897492707
0.018229166,-0.897671402
0.018437501,-0.89688468
0.018645834,-0.896388114
0.018854167,-0.898843467
0.0190625,-0.899254799
0.019270834,-0.897967339
0.019479167,-0.897643745
0.019687502,-0.895675719
0.019895833,-0.896199346
0.020104168,-0.897763193
0.020312499,-0.897727072
0.020520834,-0.896951556
0.020729167,-0.897086799
0.020937501,-0.896468878
0.021145834,-0.895454705
0.021354167,-0.895920277
0.0215625,-0.895050108
0.021770835,-0.898713946
0.021979166,-0.898185968
0.022187501,-0.89669466
0.022395832,-0.898669124
0.022604167,-0.896212399
0.022812501,-0.898675442
0.023020834,-0.895142734
0.023229167,-0.896227002
